ASCII Trace IXXAT MiniMon V3  Version: 1.1.2.4268
Date: 12/4/2019
Start time: 4:34:02 PM
Stop time: 4:34:09 PM
Overruns: 0  Errorframes: 0                                          
Baudrate: 125 kbit/s
"Time","Identifier (hex)","Format","Flags","Data (hex)"
"00:00:42.449","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.453","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.457","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.461","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.465","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.470","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.474","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.478","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.482","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.486","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.490","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.494","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.498","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.502","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.506","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.511","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.515","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.519","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.523","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.527","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.531","CC","Std","","00 1A 00 19 00 96 09 09"
"00:00:42.535","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.539","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.543","CC","Std","","00 1A 00 19 00 96 09 09"
"00:00:42.547","CC","Std","","00 19 00 1A 00 96 09 09"
"00:00:42.551","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:42.556","CC","Std","","00 1A 00 19 00 96 09 09"
"00:00:42.560","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.564","CC","Std","","00 19 00 1A 00 96 09 09"
"00:00:42.568","CC","Std","","00 1A 00 19 00 96 09 09"
"00:00:42.572","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.576","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.580","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.584","CC","Std","","00 1A 00 19 00 96 09 09"
"00:00:42.588","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.592","CC","Std","","00 19 00 1A 00 96 09 09"
"00:00:42.596","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.601","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.605","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.609","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.613","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.617","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.621","CC","Std","","00 19 00 1A 00 96 09 09"
"00:00:42.625","CC","Std","","00 1A 00 19 00 96 09 09"
"00:00:42.629","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.633","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.637","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.642","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.646","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.650","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.654","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.658","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.662","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.666","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.670","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.674","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.678","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.682","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.687","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.691","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.695","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.699","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.703","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.707","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.711","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.715","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.719","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.723","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.727","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.732","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.736","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.740","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.744","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.748","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.752","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.756","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.760","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.764","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.768","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.773","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.777","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.781","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.785","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.789","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.793","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.797","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.801","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.805","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.809","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.813","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.818","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.822","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.826","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.830","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.834","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.838","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.842","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.846","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.850","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.854","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.858","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.863","CC","Std","","00 19 00 19 00 96 09 09"
"00:00:42.867","CC","Std","","00 19 00 19 00 96 09 09"
